,Unnamed: 0,size,isEmpty,peek_obj_type,size_p,isEmpty_p,peek_obj_type_p,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
27,120,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
28,136,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,3,"['8', '33', '42']",0,
29,137,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
30,151,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
31,161,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,2,"['8', '16']",0,
32,162,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
33,176,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,1,['16'],0,
34,177,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,0,,0,
35,266,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""",0,,0,,0,
36,267,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""",0,,1,['8'],0,
37,268,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,1,['42'],0,
38,269,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""",0,,0,,0,
39,306,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""",0,,1,['16'],0,
40,307,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
41,326,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
42,414,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""",0,,1,['8'],0,
43,415,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,1,['42'],0,
44,416,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,1,['8'],0,
45,417,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""7""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,1,['42'],0,
46,418,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
47,495,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""",0,,1,['33'],0,
48,496,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""",0,,1,['16'],0,
49,497,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
50,526,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,0,,0,
51,527,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""",0,,0,,0,
52,529,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
53,634,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,0,,0,
54,635,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
55,662,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,1,['8'],0,
56,663,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
57,745,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""",0,,15,"['0', '1', '2', '19', '20', '21', '22', '23', '24', '31', '32', '36', '37', '44', '45']",0,
58,767,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,2,"['16', '42']",0,
59,768,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""",0,,0,,0,
60,769,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,0,,0,
61,772,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""",0,,1,['8'],0,
62,773,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,5,"['8', '16', '34', '35', '42']",0,
63,780,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""",0,,3,"['16', '34', '35']",0,
